Name	Positions	NextGame	Salary	Min	PTs	Reb	Ast	Stl	Blk	DblDbl	TriDbl	TO	Value	AvgPts	ProjPts	IngameProj	ActPts
Patrick Beverley	(PG/SG)	    10/24 vs UTA    	$4,800	33.69	10.51	5.49	3.76	1.47	0.24	7%	1%	1.77	5.53	26.13	26.52	-	0.00
Tim Hardaway Jr.	(SG/SF)	    10/24 @ BOS 	$5,000	32.84	15.94	3.33	2.67	0.83	0.17	2%	0%	1.76	5.26	14.13	26.32	-	0.00
Caris LeVert	(PG/SF)	    10/24 @ ORL 	$5,000	29.84	13.27	4.47	2.98	1.17	0.18	4%	0%	1.60	5.20	25.92	25.98	-	0.00
Thaddeus Young	(SF/PF)	  10/24 @ MIN 	$5,600	31.21	11.46	7.08	1.83	1.15	0.44	13%	0%	1.12	4.63	30.17	25.95	-	0.00
Derrick Favors	(PF/C)	   10/24 @ LAC 	$5,000	28.55	11.97	6.55	1.55	1.02	0.68	11%	0%	1.20	5.10	23.92	25.50	-	0.00
Al-Farouq Aminu	(SF/PF)	 10/24 vs NO 	$4,800	29.95	10.06	7.61	1.26	0.98	0.83	7%	0%	1.32	5.25	29.50	25.21	-	0.00
Evan Turner	(SG/SF)	 10/24 vs NO 	$4,300	30.95	10.52	4.24	3.92	1.14	0.44	6%	0%	1.82	5.70	25.67	24.49	-	0.00
Domantas Sabonis	(PF/C)	 10/24 @ MIN 	$4,600	30.01	11.19	6.34	1.53	0.88	0.78	8%	0%	1.55	5.31	27.08	24.44	-	0.00
Jae Crowder	(SF/PF)	 10/24 vs CHI    	$4,700	27.27	12.49	4.75	2.09	0.92	0.34	4%	0%	1.09	5.17	17.58	24.32	-	0.00
Joe Ingles	(SG/SF)	  10/24 @ LAC 	$4,700	31.50	9.70	3.71	3.76	1.48	0.25	3%	0%	1.56	5.02	30.75	23.61	-	0.00
D.J. Augustin	(PG/SG)	   10/24 vs BKN    	$5,100	30.24	11.61	3.03	4.23	0.83	0.11	4%	0%	1.83	4.62	24.17	23.54	-	0.00
Austin Rivers	(PG/SG)	   10/24 vs UTA    	$3,800	35.82	12.84	2.79	3.23	0.89	0.08	3%	0%	1.91	6.07	12.13	23.08	-	0.00
DeMarre Carroll	(SF/PF)	 10/24 @ ORL 	$5,000	27.85	10.75	4.67	1.51	1.27	0.61	2%	0%	1.08	4.58	30.83	22.89	-	0.00
Dwyane Wade	(PG/SG)	 10/24 vs CHI    	$5,000	19.19	12.11	3.32	2.74	0.74	0.59	3%	0%	1.47	4.51	14.00	22.55	-	0.00
Lou Williams	(PG/SG)	    10/24 vs UTA    	$4,900	26.87	12.72	2.98	2.51	0.76	0.16	2%	0%	1.59	4.50	29.75	22.05	-	0.00
Ramon Sessions	(PG)	 10/24 @ BOS 	$4,000	27.76	10.91	3.14	3.67	0.81	0.11	3%	0%	1.78	5.44	17.88	21.77	-	0.00
Terrence Ross	(SG/SF)	   10/24 vs BKN    	$4,400	28.73	10.67	3.21	2.21	1.21	0.46	2%	0%	1.26	4.92	23.08	21.65	-	0.00
Taj Gibson	(PF/C)	   10/24 vs IND    	$4,300	27.84	9.62	6.23	1.04	0.80	0.80	6%	0%	1.39	5.03	21.33	21.64	-	0.00
Courtney Lee	(SG/SF)	    10/24 @ BOS 	$3,900	29.86	10.50	3.35	2.77	1.17	0.19	2%	0%	1.29	5.51	14.00	21.50	-	0.00
Denzel Valentine	(SG/SF)	    10/24 @ CLE 	$4,000	26.30	10.06	4.12	1.95	0.56	0.14	2%	0%	1.26	4.98	12.88	19.93	-	0.00
Allen Crabbe	(SG/SF)	    10/24 @ ORL 	$4,900	25.97	10.72	3.25	1.07	0.81	0.37	1%	0%	0.77	3.92	25.08	19.20	-	0.00
J.R. Smith	(SG/SF)	  10/24 vs CHI    	$3,600	30.16	9.69	3.07	1.61	0.85	0.32	1%	0%	0.70	5.29	11.50	19.03	-	0.00
Tristan Thompson	(PF/C)	 10/24 vs CHI    	$4,000	24.74	6.80	6.47	1.23	0.54	0.68	8%	0%	0.89	4.72	16.92	18.88	-	0.00
Rodney Hood	(SG/SF)	 10/24 @ LAC 	$5,100	24.50	11.82	2.63	1.18	0.69	0.05	1%	0%	0.97	3.67	19.63	18.70	-	0.00
Spencer Dinwiddie	(PG/SG)	   10/24 @ ORL 	$4,100	18.90	8.63	2.55	3.17	0.84	0.27	2%	0%	1.11	4.53	21.25	18.57	-	0.00
Cory Joseph	(PG)	    10/24 @ MIN 	$3,800	22.01	8.38	2.67	3.26	0.80	0.28	2%	0%	1.52	4.84	17.25	18.38	-	0.00
Bojan Bogdanovic	(SG/SF)	    10/24 @ MIN 	$4,000	22.51	10.93	3.56	0.91	0.55	0.12	1%	0%	1.11	4.55	12.33	18.21	-	0.00
Paul Zipser	(SF/PF)	 10/24 @ CLE 	$3,600	25.80	9.23	3.70	1.62	0.55	0.38	1%	0%	1.28	5.01	14.88	18.04	-	0.00
Maurice Harkless	(SF/PF)	    10/24 vs NO 	$4,000	27.95	7.63	3.91	1.46	0.96	0.71	3%	0%	0.98	4.48	18.08	17.92	-	0.00
Lance Stephenson	(SG/SF)	    10/24 @ MIN 	$4,500	19.86	9.21	2.73	2.66	0.58	0.17	1%	0%	1.25	3.96	14.92	17.84	-	0.00
Jonathon Simmons	(SG/SF)	    10/24 vs BKN    	$4,200	22.17	9.90	2.19	2.22	0.70	0.13	2%	0%	1.18	4.16	18.25	17.49	-	0.00
Al Jefferson	(PF/C)	 10/24 @ MIN 	$3,800	14.50	9.33	4.43	0.85	0.41	0.37	2%	0%	0.89	4.55	20.00	17.30	-	0.00
E'Twaun Moore	(SG/SF)	   10/24 @ POR 	$4,000	28.47	8.94	2.02	2.09	0.83	0.42	1%	0%	0.86	4.29	16.67	17.16	-	0.00
Jameer Nelson	(PG)	  10/24 @ POR 	$3,000	22.39	6.23	2.21	3.91	0.71	0.14	2%	0%	1.14	5.52	15.75	16.55	-	0.00
Jeff Green	(SF/PF)	  10/24 vs CHI    	$3,000	18.18	9.61	2.75	1.14	0.64	0.27	1%	0%	0.83	5.50	10.17	16.49	-	0.00
Aron Baynes	(C)	 10/24 vs NY 	$3,400	16.10	6.47	5.49	0.73	0.27	0.75	7%	0%	0.70	4.78	14.58	16.24	-	0.00
Doug McDermott	(SF/PF)	  10/24 @ BOS 	$3,400	26.38	9.10	2.99	0.95	0.43	0.28	1%	0%	0.55	4.73	15.00	16.09	-	0.00
Joe Johnson	(SG/SF)	 10/24 @ LAC 	$3,700	19.69	9.02	2.29	1.54	0.51	0.19	1%	0%	0.81	4.27	15.50	15.79	-	0.00
Terry Rozier	(PG/SG)	    10/24 vs NY 	$5,500	15.43	7.08	3.03	1.75	0.77	0.11	1%	0%	0.73	2.79	29.42	15.36	-	0.00
TJ Leaf	(SF/PF)	 10/24 @ MIN 	$3,000	17.50	6.95	4.13	0.74	0.50	0.58	2%	0%	0.87	5.06	13.08	15.18	-	0.00
Ian Clark	(PG/SG)	   10/24 @ POR 	$3,800	22.39	8.32	2.36	1.40	0.63	0.11	1%	0%	0.93	3.94	19.17	14.99	-	0.00
Dante Cunningham	(SF/PF)	    10/24 @ POR 	$3,500	26.46	6.67	4.33	0.26	0.70	0.38	2%	0%	0.35	4.28	16.67	14.98	-	0.00
Kay Felder	(PG)	 10/24 @ CLE 	$3,000	14.89	7.99	1.28	2.82	0.69	0.13	1%	0%	1.59	4.93	12.13	14.80	-	0.00
Jamal Crawford	(SG)	 10/24 vs IND    	$3,900	20.62	8.53	1.48	1.76	0.60	0.21	1%	0%	0.87	3.79	16.58	14.78	-	0.00
Timofey Mozgov	(C)	  10/24 @ ORL 	$3,300	16.91	6.59	4.51	0.69	0.36	0.54	2%	0%	0.97	4.44	10.50	14.64	-	0.00
Jarrett Allen	(PF/C)	    10/24 @ ORL 	$3,600	14.92	6.29	3.94	0.55	0.44	0.93	2%	0%	0.76	4.02	16.25	14.48	-	0.00
Ekpe Udoh	(PF/C)	    10/24 @ LAC 	$3,000	14.77	5.35	3.69	0.40	0.26	1.45	2%	0%	0.56	4.59	11.50	13.76	-	0.00
Pat Connaughton	(SG/SF)	 10/24 vs NO 	$3,000	17.97	6.19	2.73	1.81	0.45	0.05	1%	0%	0.89	4.50	16.42	13.50	-	0.00
Ed Davis	(PF/C)	 10/24 vs NO 	$3,400	15.97	4.09	5.49	0.57	0.39	0.48	5%	0%	0.79	3.89	21.08	13.24	-	0.00
